DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,SEX,AGE,LABPROF_STATUS_C,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_SEX,NOTE_AGE,NOTE_LABPROF_STATUS_C,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1,2016,19836,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1,2017,15167,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1,2018,29739,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1,2019,24982,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1,2020,7534,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1,2021,11523,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1,2022,12746,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1,2023,15689,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A_OTH,2016,3876,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A_OTH,2017,2813,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A_OTH,2018,8081,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A_OTH,2019,4186,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A_OTH,2020,948,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A_OTH,2021,1440,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A_OTH,2022,1475,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A_OTH,2023,1838,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A1,2016,1570,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A1,2017,2192,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A1,2018,3643,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A1,2019,3993,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A1,2020,1112,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A1,2021,1527,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A1,2022,2082,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1A1,2023,2411,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B1,2016,12137,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B1,2017,7421,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B1,2018,12545,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B1,2019,12904,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B1,2020,4502,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B1,2021,6676,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B1,2022,6655,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B1,2023,9434,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2016,2252,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2017,2740,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2018,5470,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
