ID,NAME
JVC,job vacancy rate - quarterly data
HOUR_JV,index of hours worked per employee - base 2005=100
MHOUR_JV_1,index of volume of hours worked  - base 2010=100
MHOUR_JV_2,index of volume of hours worked  - base 2015=100
HOUR_JV_1,index of hours worked per employee - base 2010=100
EMP_LC_GI_2,employment index (gross of short-time working allowance) - base 2015=100
HOUR_JV_2,index of hours worked per employee - base 2015=100
HSTR_JV,overtime hours per 100 hours worked
EMP_NC_GI_2,employment index (excluding short-time working allowance) - base 2015=100
HCIG_JV,short-time working allowance hours per 1000 hours worked
EMP_PT_GI_2,share of part-time employment on total employment - base 2015
EMP_LC_GI_1,employment index (gross of short-time working allowance)- base 2010=100
HOUR_GI_2,index of hours worked per employee (excluding short-time working allowance) - base 2015=100
EMP_LC_GI,employment index (gross of short-time working allowance)- base 2005=100
HSTR_GI_2,overtime hours per 100 regular hours worked - base 2015
EMP_NC_GI_1,employment index (excluding short-time working allowance)- base 2010=100
HCIG_GI_2,short-time working allowance hours per 1000 hours worked - base 2015
EMP_NC_GI,employment index (excluding short-time working allowance)- base 2005=100
HSCI_GI_2,strike hours per 1000 hours worked  - base 2015
EMP_PT_GI_1,share of part-time employment on total employment - base 2010
LCH_GI_2,hourly labour cost index - base 2015=100
EMP_PT_GI,share of part-time employment on total employment - base 2005
LCD_GI_2,index of labour cost per employee (excluding short-time working allowance) - base 2015=100
HOUR_GI_1,index of hours worked per employee (excluding short-time working allowance) - base 2010=100
WAGE_H_GI_2,hourly gross earnings index - base 2015=100
HOUR_GI,index of hours worked per employee (excluding short-time working allowance)- base 2005=100
WAGE_E_GI_2,index of gross earning per employee (excluding short-time working allowance) - base 2015=100
HSTR_GI_1,overtime hours per 100 regular hours worked - base 2010=100
WAGE_C_GI_2,index of regular gross earning per employee (excluding short-time working allowance) - base 2015=100
HSTR_GI,overtime hours per 100 regular hours worked - base 2005=100
IN_GI_2,inflow rate (per thousand values) -  base 2015
HCIG_GI_1,short-time working allowance hours per 1000 hours worked - base 2010
OUT_GI_2,outflow rate (per thousand values) - base 2015
