Codice ISTAT,Codice Regione,Codice Provincia,Codice Comune,Regione,Provincia,Comune,Latitudine,Longitudine
008043,ITC3,ITC31,008043,Liguria,Imperia,Pigna,43.9327142,7.6633135
009008,ITC3,ITC32,009008,Liguria,Savona,Balestrino,44.12513,8.1715202
009038,ITC3,ITC32,009038,Liguria,Savona,Millesimo,44.367536,8.201746
009040,ITC3,ITC32,009040,Liguria,Savona,Murialdo,44.3165799,8.1642967
010012,ITC3,ITC33,010012,Liguria,Genova,Casella,44.5355862,8.9967857
009034,ITC3,ITC32,009034,Liguria,Savona,Loano,44.1287537,8.2593713
011030,ITC3,ITC34,011030,Liguria,La Spezia,Vernazza,44.1349412,9.6827757
008040,ITC3,ITC31,008040,Liguria,Imperia,Perinaldo,43.8676804,7.6684569
009014,ITC3,ITC32,009014,Liguria,Savona,Bormida,44.2782607,8.2341987
009049,ITC3,ITC32,009049,Liguria,Savona,Pietra Ligure,44.152931,8.286552
008056,ITC3,ITC31,008056,Liguria,Imperia,Santo Stefano al Mare,43.8377772,7.8982074
008009,ITC3,ITC31,008009,Liguria,Imperia,Borghetto d'Arroscia,44.057726,7.981747
011001,ITC3,ITC34,011001,Liguria,La Spezia,Ameglia,44.0659288,9.9574096
008058,ITC3,ITC31,008058,Liguria,Imperia,Soldano,43.8283447,7.6542098
008048,ITC3,ITC31,008048,Liguria,Imperia,Ranzo,44.059627,8.014947
009027,ITC3,ITC32,009027,Liguria,Savona,Dego,44.443038,8.305947
008046,ITC3,ITC31,008046,Liguria,Imperia,Pornassio,44.0698777,7.8712894
008037,ITC3,ITC31,008037,Liguria,Imperia,Montegrosso Pian Latte,44.0668887,7.817209
010029,ITC3,ITC33,010029,Liguria,Genova,Leivi,44.3544648,9.3151786
010063,ITC3,ITC33,010063,Liguria,Genova,Tribogna,44.4199527,9.1902231
010027,ITC3,ITC33,010027,Liguria,Genova,Isola del Cantone,44.6456444,8.9575577
010009,ITC3,ITC33,010009,Liguria,Genova,Campomorone,44.507337,8.8901102
009013,ITC3,ITC32,009013,Liguria,Savona,Borgio Verezzi,44.164968200000004,8.306662116087459
008005,ITC3,ITC31,008005,Liguria,Imperia,Aurigo,43.9826457,7.9221224
009058,ITC3,ITC32,009058,Liguria,Savona,Stella,44.4047212,8.5015651
