Codice Regione,Codice Provincia,Codice Comune,regione,Provincia,Comune,Codice ISTAT,Latitude,Longitude
ITC3,ITC31,008001,,,Airole,008001,43.871038,7.5541812
ITC3,ITC31,008002,,,Apricale,008002,43.8803889,7.6602096
ITC3,ITC31,008003,,,Aquila Di Arroscia,008003,44.0792895,8.0086159
ITC3,ITC31,008004,,,Armo,008004,44.0879649,7.9147826
ITC3,ITC31,008005,,,Aurigo,008005,43.9826457,7.9221224
ITC3,ITC31,008006,,,Badalucco,008006,43.9155573,7.8472946
ITC3,ITC31,008007,,,Baiardo,008007,43.9031088,7.7167756
ITC3,ITC31,008008,,,Bordighera,008008,43.7850512,7.6591094
ITC3,ITC31,008009,,,Borghetto Di Arroscia,008009,44.1001295,7.9754828
ITC3,ITC31,008010,,,Borgomaro,008010,43.974924,7.945147
ITC3,ITC31,008011,,,Camporosso,008011,43.8151011,7.6284178
ITC3,ITC31,008012,,,Caravonica,008012,43.993025,7.958047
ITC3,ITC31,008013,,,Carpasio,008013,43.9597733,7.8664778
ITC3,ITC31,008014,,,Castellaro,008014,43.865221,7.868748
ITC3,ITC31,008015,,,Castel Vittorio,008015,43.9285566,7.674434
ITC3,ITC31,008016,,,Ceriana,008016,43.8807025,7.7745643
ITC3,ITC31,008017,,,Cervo,008017,43.9257729,8.1151521
ITC3,ITC31,008018,,,Cesio,008018,44.0072964,7.9735359
ITC3,ITC31,008019,,,Chiusanico,008019,43.9724065,7.9910739
ITC3,ITC31,008020,,,Chiusavecchia,008020,43.9676459,7.9841386
ITC3,ITC31,008021,,,Cipressa,008021,43.8510162,7.9309503
ITC3,ITC31,008022,,,Civezza,008022,43.8798564,7.9513674
ITC3,ITC31,008023,,,Cosio Di Arroscia,008023,44.0771225,7.8330076
ITC3,ITC31,008024,,,Costarainera,008024,43.855421,7.938749
ITC3,ITC31,008025,,,Diano Arentino,008025,43.949625,8.04155
ITC3,ITC31,008026,,,Diano Castello,008026,43.9237407,8.0671862
ITC3,ITC31,008027,,,Diano Marina,008027,43.9100767,8.0803641
ITC3,ITC31,008028,,,Diano San Pietro,008028,43.931424,8.071651
ITC3,ITC31,008029,,,Dolceacqua,008029,43.8509263,7.6236357
ITC3,ITC31,008030,,,Dolcedo,008030,43.9074393,7.9510985
ITC3,ITC31,008031,,,Imperia (comune),008031,,
ITC3,ITC31,008032,,,Isolabona,008032,43.8788708,7.6400263
ITC3,ITC31,008033,,,Lucinasco,008033,43.9680214,7.9639801
ITC3,ITC31,008034,,,Mendatica,008034,44.0763792,7.8056411
ITC3,ITC31,008035,,,Molini Di Triora,008035,43.9903183,7.7744405
ITC3,ITC31,008036,,,Montalto Ligure,008036,43.9277174,7.8444438
ITC3,ITC31,008037,,,Montegrosso Pian Latte,008037,44.0668887,7.817209
ITC3,ITC31,008038,,,Olivetta San Michele,008038,43.8797713,7.5346432
ITC3,ITC31,008039,,,Ospedaletti,008039,43.8020802,7.7181662
ITC3,ITC31,008040,,,Perinaldo,008040,43.8676804,7.6684569
ITC3,ITC31,008041,,,Pietrabruna,008041,43.889722,7.902948
ITC3,ITC31,008042,,,Pieve Di Teco,008042,44.047026,7.914946
ITC3,ITC31,008043,,,Pigna,008043,43.9327142,7.6633135
ITC3,ITC31,008044,,,Pompeiana,008044,43.853721,7.889848
ITC3,ITC31,008045,,,Pontedassio,008045,43.940324,8.01385
ITC3,ITC31,008046,,,Pornassio,008046,44.0698777,7.8712894
ITC3,ITC31,008047,,,Prela',008047,43.9263186,7.9364801
ITC3,ITC31,008048,,,Ranzo,008048,44.059627,8.014947
ITC3,ITC31,008049,,,Rezzo,008049,44.021425,7.871445
ITC3,ITC31,008050,,,Riva Ligure,008050,43.8383252,7.8826679
ITC3,ITC31,008051,,,Rocchetta Nervina,008051,43.890619,7.599642
ITC3,ITC31,008052,,,San Bartolomeo Al Mare,008052,43.922924,8.101152
ITC3,ITC31,008053,,,San Biagio Della Cima,008053,43.8182416,7.6488198
ITC3,ITC31,008054,,,San Lorenzo Al Mare,008054,43.8547109,7.9637075
ITC3,ITC31,008055,,,San Remo,008055,43.8139928,7.7697497
ITC3,ITC31,008056,,,Santo Stefano Al Mare,008056,43.8377772,7.8982074
ITC3,ITC31,008057,,,Seborga,008057,43.826406,7.6945093
ITC3,ITC31,008058,,,Soldano,008058,43.8283447,7.6542098
ITC3,ITC31,008059,,,Taggia,008059,43.8696068,7.8364582
ITC3,ITC31,008060,,,Terzorio,008060,43.852321,7.898349
ITC3,ITC31,008061,,,Triora,008061,43.992523,7.766243
ITC3,ITC31,008062,,,Vallebona,008062,43.812718,7.666544
ITC3,ITC31,008063,,,Vallecrosia,008063,43.7888272,7.6434111
ITC3,ITC31,008064,,,Vasia,008064,43.93266,7.9532267
ITC3,ITC31,008065,,,Ventimiglia,008065,43.7917623,7.6033131
ITC3,ITC31,008066,,,Vessalico,008066,44.0459373,7.960853
ITC3,ITC31,008067,,,Villa Faraldi,008067,43.9685283,8.085228845771546
ITC3,ITC32,009001,,,Alassio,009001,44.0080109,8.1730265
ITC3,ITC32,009002,,,Albenga,009002,44.0492503,8.2131239
ITC3,ITC32,009003,,,Albissola Marina,009003,44.3272723,8.5031895
ITC3,ITC32,009004,,,Albisola Superiore,009004,44.339838,8.509353
ITC3,ITC32,009005,,,Altare,009005,44.3359819,8.3399306
ITC3,ITC32,009006,,,Andora,009006,43.9519286,8.1456487
ITC3,ITC32,009007,,,Arnasco,009007,44.078228,8.107449
ITC3,ITC32,009008,,,Balestrino,009008,44.12513,8.1715202
ITC3,ITC32,009009,,,Bardineto,009009,44.1931231,8.1324517
ITC3,ITC32,009010,,,Bergeggi,009010,44.249735,8.443353
ITC3,ITC32,009011,,,Boissano,009011,44.1357684,8.2217538
ITC3,ITC32,009012,,,Borghetto Santo Spirito,009012,44.1144461,8.235328
ITC3,ITC32,009013,,,Borgio Verezzi,009013,44.164968200000004,8.306662116087459
ITC3,ITC32,009014,,,Bormida,009014,44.2782607,8.2341987
ITC3,ITC32,009015,,,Cairo Montenotte,009015,44.3992684,8.2745606
ITC3,ITC32,009016,,,Calice Ligure,009016,44.204933,8.295351
ITC3,ITC32,009017,,,Calizzano,009017,44.2368806,8.1144696
ITC3,ITC32,009018,,,Carcare,009018,44.3574727,8.2901625
ITC3,ITC32,009019,,,Casanova Lerrone,009019,44.0321164,8.0502228
ITC3,ITC32,009020,,,Castelbianco,009020,44.1118166,8.0709079
ITC3,ITC32,009021,,,Castelvecchio Di Rocca Barbena,009021,44.129829,8.116648
ITC3,ITC32,009022,,,Celle Ligure,009022,44.3463235,8.5444342
ITC3,ITC32,009023,,,Cengio,009023,44.3902587,8.2079522
ITC3,ITC32,009024,,,Ceriale,009024,44.091629,8.223251
ITC3,ITC32,009025,,,Cisano Sul Neva,009025,44.0864021,8.1474179
ITC3,ITC32,009026,,,Cosseria,009026,44.3683143,8.2348661
ITC3,ITC32,009027,,,Dego,009027,44.443038,8.305947
ITC3,ITC32,009028,,,Erli,009028,44.137529,8.103148
ITC3,ITC32,009029,,,Finale Ligure,009029,44.1689049,8.3436524
ITC3,ITC32,009030,,,Garlenda,009030,44.034227,8.09565
ITC3,ITC32,009031,,,Giustenice,009031,44.1725509,8.2471878
ITC3,ITC32,009032,,,Giusvalla,009032,44.447939,8.394149
ITC3,ITC32,009033,,,Laigueglia,009033,43.9788263,8.157351
ITC3,ITC32,009034,,,Loano,009034,44.1287537,8.2593713
ITC3,ITC32,009035,,,Magliolo,009035,44.1914858,8.2503958
ITC3,ITC32,009036,,,Mallare,009036,44.2909819,8.2966494
ITC3,ITC32,009037,,,Massimino,009037,44.2995752,8.0706198
ITC3,ITC32,009038,,,Millesimo,009038,44.367536,8.201746
ITC3,ITC32,009039,,,Mioglia,009039,44.4904597,8.4124727
ITC3,ITC32,009040,,,Murialdo,009040,44.3165799,8.1642967
ITC3,ITC32,009041,,,Nasino,009041,44.1137497,8.0317127
ITC3,ITC32,009042,,,Noli,009042,44.2058832,8.416419
ITC3,ITC32,009043,,,Onzo,009043,44.0702888,8.0500191
ITC3,ITC32,009044,,,Orco Feglino,009044,44.234314600000005,8.325371878950978
ITC3,ITC32,009045,,,Ortovero,009045,44.053427,8.096649
ITC3,ITC32,009046,,,Osiglia,009046,44.2826316,8.2021436
ITC3,ITC32,009047,,,Pallare,009047,44.3272753,8.2754352
ITC3,ITC32,009048,,,Piana Crixia,009048,44.4861788,8.3061011
ITC3,ITC32,009049,,,Pietra Ligure,009049,44.152931,8.286552
ITC3,ITC32,009050,,,Plodio,009050,44.3511944,8.2564515
ITC3,ITC32,009051,,,Pontinvrea,009051,44.4446264,8.43446
ITC3,ITC32,009052,,,Quiliano,009052,44.292536,8.412652
ITC3,ITC32,009053,,,Rialto,009053,44.2258176,8.2631084
ITC3,ITC32,009054,,,Roccavignale,009054,44.347172,8.1646818
ITC3,ITC32,009055,,,Sassello,009055,44.4789695,8.4901712
ITC3,ITC32,009056,,,Savona (comune),009056,44.3074563,8.481198540996619
ITC3,ITC32,009057,,,Spotorno,009057,44.2272571,8.4191772
ITC3,ITC32,009058,,,Stella,009058,44.4047212,8.5015651
ITC3,ITC32,009059,,,Stellanello,009059,44.0004199,8.0580389
ITC3,ITC32,009060,,,Testico,009060,44.005626,8.029249
ITC3,ITC32,009061,,,Toirano,009061,44.12753,8.20485
ITC3,ITC32,009062,,,Tovo San Giacomo,009062,44.1764742,8.2684492
ITC3,ITC32,009063,,,Urbe,009063,44.4772561,8.6313928
ITC3,ITC32,009064,,,Vado Ligure,009064,44.2714401,8.4382205
ITC3,ITC32,009065,,,Varazze,009065,44.3592996,8.5753273
ITC3,ITC32,009066,,,Vendone,009066,44.0747064,8.0739301
ITC3,ITC32,009067,,,Vezzi Portio,009067,44.23754985,8.353740825847455
ITC3,ITC32,009068,,,Villanova Di Albenga,009068,44.067723199999996,8.1688826
ITC3,ITC32,009069,,,Zuccarello,009069,44.111029,8.115849
ITC3,ITC33,010001,,,Arenzano,010001,44.4025183,8.6831317
ITC3,ITC33,010002,,,Avegno,010002,44.3913363,9.1563156
ITC3,ITC33,010003,,,Bargagli,010003,44.4478019,9.087661
ITC3,ITC33,010004,,,Bogliasco,010004,44.3790556,9.0679508
ITC3,ITC33,010005,,,Borzonasca,010005,44.422248,9.38657
ITC3,ITC33,010006,,,Busalla,010006,44.573483,8.9433002
ITC3,ITC33,010007,,,Camogli,010007,44.349247,9.158863
ITC3,ITC33,010008,,,Campo Ligure,010008,44.537644,8.698153
ITC3,ITC33,010009,,,Campomorone,010009,44.507337,8.8901102
ITC3,ITC33,010010,,,Carasco,010010,44.3497559,9.3456502
ITC3,ITC33,010011,,,Casarza Ligure,010011,44.2735459,9.4497709
