ID,NAME
ALL,total collective accommodation establishments
HOTELLIKE,hotels and similar establishments
4_5_5P_STARSHOTELS,5 stars-5 stars deluxe and 4 stars hotels
3_STARSHOTELS_RES,3 stars hotels and hotel-tourism residences
1_2_STARSHOTELS,2 stars and 1 star hotels
OTHER,other collective accommodation establishments
5_5P_STARSHOTELS,5 stars-5 stars deluxe hotels
4_STARSHOTELS,4 stars hotels
3_STARSHOTELS,3 stars hotels
2_STARSHOTELS,2 stars hotels
1_STARSHOTELS,1 star hotels
RES,hotel-tourism residences
CAMP_VILL,tourist camp-sites and holiday villages
DWELLINGS,holiday dwellings (rented)
FARMHOUSES,farmhouses
HOSTELS,youth hostels
HOMES,holiday homes
MNTREF,mountain refugees
OTHERACCNEC,other accommodation n.e.c.
BNB,bed and breakfast
OTHERACC,other collective accommodation
